Things Fall Apart,Chinua Achebe,209;
Fairy tales,Hans Christian Andersen,784;
The Divine Comedy,Dante Alighieri,928;
The Epic Of Gilgamesh,Unknown,160;
The Book Of Job,Unknown,176;
One Thousand and One Nights,Unknown,288;
Njal's Saga,Unknown,384;
Pride and Prejudice,Jane Austen,226;
Le Pere Goriot,Honore de Balzac,443;
Molloy,,0;
The Decameron,Giovanni Boccaccio,1024;
Ficciones,Jorge Luis Borges,224;
Wuthering Heights,Emily Bronte,342;
The Stranger,Albert Camus,185;
Poems,Paul Celan,320;
Journey to the End of the Night,Louis-Ferdinand Celine,505;
Don Quijote De La Mancha,Miguel de Cervantes,1056;
The Canterbury Tales,Geoffrey Chaucer,544;
Stories,Anton Chekhov,194;
Nostromo,Joseph Conrad,320;
Great Expectations,Charles Dickens,194;
Jacques the Fatalist,Denis Diderot,596;
Berlin Alexanderplatz,Alfred Doblin,600;
Crime and Punishment,Fyodor Dostoevsky,551;
The Idiot,Fyodor Dostoevsky,656;
The Possessed,Fyodor Dostoevsky,768;
The Brothers Karamazov,Fyodor Dostoevsky,824;
Middlemarch,George Eliot,800;
Invisible Man,Ralph Ellison,581;
Medea,Euripides,104;
Absalom,,313;
The Sound and the Fury,William Faulkner,326;
Madame Bovary,Gustave Flaubert,528;
Sentimental Education,Gustave Flaubert,606;
Gypsy Ballads,Federico Garcia Lorca,218;
One Hundred Years of Solitude,Gabriel Garcia Marquez,417;
Love in the Time of Cholera,Gabriel Garcia Marquez,368;
Faust,Johann Wolfgang von Goethež,158;
Dead Souls,Nikolai Gogol,432;
The Tin Drum,Gunter Grass,600;
The Devil to Pay in the Backlands,Joao Guimaraes Rosa,494;
Hunger,Knut Hamsun,176;
The Old Man and the Sea,Ernest Hemingway,128;
Iliad,Homer,608;
Odyssey,Homer,374;
A Doll's House,Henrik Ibsen,68;
Ulysses,James Joyce,228;
Stories,Franz Kafka,488;
The Trial,Franz Kafka,160;
The Castle,Franz Kafka,352;
The recognition of Shakuntala,Kalidasa,147;
The Sound of the Mountain,Yasunari Kawabata,288;
Zorba the Greek,Nikos Kazantzakis,368;
Sons and Lovers,D. H. Lawrence,432;
Independent People,Halldor Laxness,470;
Poems,Giacomo Leopardi,184;
The Golden Notebook,Doris Lessing,688;
Pippi Longstocking,Astrid Lindgren,160;
Diary of a Madman,Lu Xun,389;
Children of Gebelawi,Naguib Mahfouz,355;
Buddenbrooks,Thomas Mann,736;
The Magic Mountain,Thomas Mann,720;
Moby Dick,Herman Melville,378;
Essays,Michel de Montaigne,404;
History,Elsa Morante,600;
Beloved,Toni Morrison,321;
The Tale of Genji,Murasaki Shikibu,1360;
The Man Without Qualities,Robert Musil,365;
Lolita,Vladimir Nabokov,317;
Nineteen Eighty-Four,George Orwell,272;
Metamorphoses,Ovid,576;
The Book of Disquiet,Fernando Pessoa,272;
Tales,Edgar Allan Poe,842;
In Search of Lost Time,Marcel Proust,2408;
Gargantua and Pantagruel,Francois Rabelais,623;
Pedro Paramo,Juan Rulfo,124;
The Masnavi,Rumi,438;
Midnight's Children,Salman Rushdie,536;
Bostan,Saadi,298;
Season of Migration to the North,Tayeb Salih,139;
Blindness,Jose Saramago,352;
Hamlet,William Shakespeare,432;
King Lear,William Shakespeare,384;
Othello,William Shakespeare,314;
Oedipus the King,Sophocles,88;
The Red and the Black,Stendhal,576;
The Life And Opinions of Tristram Shandy,Laurence Sterne,640;
Confessions of Zeno,Italo Svevo,412;
Gulliver's Travels,Jonathan Swift,178;
War and Peace,Leo Tolstoy,1296;
Anna Karenina,Leo Tolstoy,864;
The Death of Ivan Ilyich,Leo Tolstoy,92;
The Adventures of Huckleberry Finn,Mark Twain,224;
Ramayana,Valmiki,152;
The Aeneid,Virgil,442;
Mahabharata,Vyasa,276;
Rebecca,Manderly,875;
GOT,Martin,987;
Oedipus the King,Sophocles,88;
The Red and the Black,Stendhal,576;
The Life And Opinions of Tristram Shandy,Laurence Sterne,640;
Confessions of Zeno,Italo Svevo,412;
Gulliver's Travels,Jonathan Swift,178;
War and Peace,Leo Tolstoy,1296;
Anna Karenina,Leo Tolstoy,864;
The Death of Ivan Ilyich,Leo Tolstoy,92;
The Adventures of Huckleberry Finn,Mark Twain,224;
Ramayana,Valmiki,152;
The Aeneid,Virgil,442;
Mahabharata,Vyasa,276;
